Date,Price,Open,High,Low
2017-07-07,117.67,118.25,118.38,117.39
2017-07-10,117.49,117.61,117.73,117.22
2017-07-11,117.53,117.49,117.76,116.94
2017-07-12,118.15,117.54,118.4,117.5
2017-07-13,117.83,118.14,118.23,117.61
2017-07-14,118.53,117.83,118.81,117.45
2017-07-17,118.33,118.5,118.69,118.08
2017-07-18,118.75,118.33,119.17,118.22
2017-07-19,118.94,118.73,119.41,118.61
2017-07-20,119.16,118.95,119.62,118.6
2017-07-21,119.8,119.14,119.94,118.85
2017-07-24,119.8,119.86,120.33,119.56
2017-07-25,119.1,119.78,120.19,119.0
2017-07-26,119.95,119.11,120.08,118.86
2017-07-27,119.69,119.95,120.25,119.2
2017-07-28,120.42,119.7,120.55,119.59
2017-07-31,120.86,120.44,120.92,120.28
2017-08-01,120.73,120.86,121.2,120.46
2017-08-02,120.33,120.72,120.83,120.05
2017-08-03,121.09,120.33,121.3,120.21
2017-08-04,120.31,121.08,121.31,119.91
2017-08-07,120.28,120.36,120.39,120.08
2017-08-08,120.69,120.28,120.77,120.11
2017-08-09,121.11,120.7,121.72,120.6
2017-08-10,122.09,121.13,122.17,121.01
2017-08-11,122.34,122.11,122.84,122.09
2017-08-14,121.75,122.5,122.53,121.56
2017-08-15,120.72,121.75,121.8,120.53
2017-08-16,121.41,120.75,121.59,120.56
2017-08-17,122.1,121.4,122.24,121.2
2017-08-18,122.37,122.09,123.06,121.92
2017-08-21,122.51,122.19,122.9,122.11
2017-08-22,121.78,122.5,122.62,121.68
2017-08-23,122.52,121.77,122.64,121.5
2017-08-24,121.83,122.5,122.72,121.77
2017-08-25,122.04,121.82,122.32,121.48
2017-08-28,122.1,122.21,122.36,121.91
2017-08-29,121.54,122.1,123.21,121.37
2017-08-30,121.06,121.53,121.77,120.84
2017-08-31,121.33,121.03,121.44,120.56
2017-09-01,121.0,121.33,121.8,120.83
2017-09-04,121.58,121.97,122.08,121.39
2017-09-05,122.57,121.57,122.79,121.47
2017-09-06,122.1,122.59,122.98,121.92
2017-09-07,122.69,122.1,123.14,122.04
2017-09-08,122.44,122.72,123.08,122.08
2017-09-11,120.31,122.01,122.09,120.2
